name,price,stars,link
wrigley-bubblemint-extra-refreshers-gomme-fresche-alla-frutta-da-15g,"€1,49",0.00,/collections/snack-americani/products/wrigley-bubblemint-extra-refreshers-gomme-fresche-alla-frutta-da-15g
nesquik-syrup-strawberry-sciroppo-alla-fragola-da-623-6g,"€5,99",0.00,/collections/snack-americani/products/nesquik-syrup-strawberry-sciroppo-alla-fragola-da-623-6g
dunkin-original-blend-medium-roast-caffe-americano-da-340g,"€16,49",0.00,/collections/snack-americani/products/dunkin-original-blend-medium-roast-caffe-americano-da-340g
sour-razzle-caramelle-aspre-alla-frutta-da-40g,"€1,99",5.00,/collections/snack-americani/products/sour-razzle-caramelle-aspre-alla-frutta-da-40g
charleston-chew-strawberry-torrone-morbido-alla-fragola-ricoperto-di-cioccolato-da-53g,"€1,79",0.00,/collections/snack-americani/products/charleston-chew-strawberry-torrone-morbido-alla-fragola-ricoperto-di-cioccolato-da-53g
bever-jarritos-grapefruit-bevanda-al-pompelmo-da-370ml,"€2,19",0.00,/collections/snack-americani/products/bever-jarritos-grapefruit-bevanda-al-pompelmo-da-370ml
hersheys-syrup,"€6,99",4.33,/collections/snack-americani/products/hersheys-syrup
dentyne-ice-arctic-chill-gomme-alla-menta-da-48g,"€2,49",0.00,/collections/snack-americani/products/dentyne-ice-arctic-chill-gomme-alla-menta-da-48g
jelly-belly-bubbly-sparkling-wine-flavour-caramelle-al-gusto-di-spumante-da-42g,"€4,49",0.00,/collections/snack-americani/products/jelly-belly-bubbly-sparkling-wine-flavour-caramelle-al-gusto-di-spumante-da-42g
hersheys-strawberry-syrup,"€6,99",0.00,/collections/snack-americani/products/hersheys-strawberry-syrup
heinz-sweet-relish,"€5,99",0.00,/collections/snack-americani/products/heinz-sweet-relish
lotus-biscoff-topping-topping-per-dolci-al-biscotto-lotus-da-1kg,"€19,99",0.00,/collections/snack-americani/products/lotus-biscoff-topping-topping-per-dolci-al-biscotto-lotus-da-1kg
nestle-coffee-mate-caramel-latte-miscela-in-polvere-al-latte-e-caramello-da-425-2g,"€10,99",2.00,/collections/snack-americani/products/nestle-coffee-mate-caramel-latte-miscela-in-polvere-al-latte-e-caramello-da-425-2g
libbys-pumpkin-purea-di-zucca-da-425g,"€4,79",0.00,/collections/snack-americani/products/libbys-pumpkin-purea-di-zucca-da-425g
heinz-hot-dog-relish-condimento-al-cetriolo-da-296ml,"€5,99",0.00,/collections/snack-americani/products/heinz-hot-dog-relish-condimento-al-cetriolo-da-296ml
kool-aid-sharkleberry-fin-preparato-per-bevande-in-polvere-al-gusto-di-frutti-misti-da-4-6g,"€0,99",0.00,/collections/snack-americani/products/kool-aid-sharkleberry-fin-preparato-per-bevande-in-polvere-al-gusto-di-frutti-misti-da-4-6g
hersheys-mr-goodbar-barretta-al-cioccolato-e-arachidi-da-49g,"€1,99",0.00,/collections/snack-americani/products/hersheys-mr-goodbar-barretta-al-cioccolato-e-arachidi-da-49g
twix-salted-caramel-barretta-al-cioccolato-ripieno-di-caramello-salato-da-46g,"€1,79",5.00,/collections/snack-americani/products/twix-salted-caramel-barretta-al-cioccolato-ripieno-di-caramello-salato-da-46g
cheetos-crunchy-bastoncini-al-formaggio-da-56g,"€1,99",0.00,/collections/snack-americani/products/cheetos-crunchy-bastoncini-al-formaggio-da-56g
kelloggs-unicorn-froot-loops-cereali-unicorno-da-375g,"€8,49",0.00,/collections/snack-americani/products/kelloggs-unicorn-froot-loops-cereali-unicorno-da-375g
nestle-munchies-cioccolatini-al-latte-da-50g,"€1,79",0.00,/collections/snack-americani/products/nestle-munchies-cioccolatini-al-latte-da-50g
cheetos-crunchy-jalapeno-bastoncini-al-formaggio-e-al-peperoncino-jalapeno-da-56g,"€1,99",5.00,/collections/snack-americani/products/cheetos-crunchy-jalapeno-bastoncini-al-formaggio-e-al-peperoncino-jalapeno-da-56g
snickers-creamy-peanut-butter-barretta-di-cioccolato-al-burro-darachidi-da-18-25g,"€1,29",0.00,/collections/snack-americani/products/snickers-creamy-peanut-butter-barretta-di-cioccolato-al-burro-darachidi-da-18-25g
cadbury-dairy-milk-freddo-caramel-barretta-al-cioccolato-ripieno-di-caramello-da-19-5g,"€0,99",0.00,/collections/snack-americani/products/cadbury-dairy-milk-freddo-caramel-barretta-al-cioccolato-ripieno-di-caramello-da-19-5g
cheetos-crunchy-flamin-hot-bastoncini-al-formaggio-piccante-da56g,"€1,99",0.00,/collections/snack-americani/products/cheetos-crunchy-flamin-hot-bastoncini-al-formaggio-piccante-da56g
cadbury-caramilk-barretta-al-cioccolato-bianco-ripiena-di-caranello-da-37g,"€1,79",0.00,/collections/snack-americani/products/cadbury-caramilk-barretta-al-cioccolato-bianco-ripiena-di-caranello-da-37g
lion-white-barretta-di-wafer-e-toff-ricoperto-di-cioccolato-bianco-da-42g,"€1,49",5.00,/collections/snack-americani/products/lion-white-barretta-di-wafer-e-toff-ricoperto-di-cioccolato-bianco-da-42g
6x-patriots-nacho-cheese-nachos-al-formaggio-da-60g,"€7,74",5.00,/collections/snack-americani/products/6x-patriots-nacho-cheese-nachos-al-formaggio-da-60g
sunkist-strawberry-lemonade-bevanda-al-gusto-di-limonata-e-fragola-da-355ml,"€1,79",0.00,/collections/snack-americani/products/sunkist-strawberry-lemonade-bevanda-al-gusto-di-limonata-e-fragola-da-355ml
francks-red-hot-cayenne-pepper-souce,"€3,49",0.00,/collections/snack-americani/products/francks-red-hot-cayenne-pepper-souce
franks-red-hot-original-cayenne-pepper-sauce,"€3,99",5.00,/collections/snack-americani/products/franks-red-hot-original-cayenne-pepper-sauce
americanbox-bevande-con-minimo-10-prodotti,"€19,90",4.80,/collections/snack-americani/products/americanbox-bevande-con-minimo-10-prodotti
hostess-twinkies-chocolate-confezione-da-10,"€8,49",5.00,/collections/snack-americani/products/hostess-twinkies-chocolate-confezione-da-10
now-later-chewy-mango-caramelle-al-mango-da-26g,"€0,99",0.00,/collections/snack-americani/products/now-later-chewy-mango-caramelle-al-mango-da-26g
snickers-peanut-brownie-barretta-di-cioccolato-al-burro-darachidi-e-brownie-da-34g,"€2,49",5.00,/collections/snack-americani/products/snickers-peanut-brownie-barretta-di-cioccolato-al-burro-darachidi-e-brownie-da-34g
kit-kat-mint-dark-chocolate-barretta-la-cioccolato-fondente-e-menta-da-42g,"€1,99",4.85,/collections/snack-americani/products/kit-kat-mint-dark-chocolate-barretta-la-cioccolato-fondente-e-menta-da-42g
chupa-chups-drink-uva-e-fragola-bevanda-al-gusto-di-uva-e-fragola-da-345ml,"€2,49",0.00,/collections/snack-americani/products/chupa-chups-drink-uva-e-fragola-bevanda-al-gusto-di-uva-e-fragola-da-345ml
3-confezioni-jelly-belly-10-flavours,"
        €3,99
      ",4.20,/collections/snack-americani/products/3-confezioni-jelly-belly-10-flavours
m-amp-ms-double-chocolate-cookies,"€3,99",4.67,/collections/snack-americani/products/m-amp-ms-double-chocolate-cookies
rocky-mountain-marshmallows,"€2,69",5.00,/collections/snack-americani/products/rocky-mountain-marshmallows
harry-potter-chocolate-frog-jelly-belly,"€5,49",4.80,/collections/snack-americani/products/harry-potter-chocolate-frog-jelly-belly
